Device,Device Group,First Name,Date,Log Time,DateTime,Record Type,Speed,Longitude,Latitude,Reason for Log,Ignition,Aux1,Aux2,Aux3,Aux4,Aux5,Aux6,Aux7,Aux8,Valid,Valid GPS,Debug Record,Engine Diagnostic,Controller,Failure Mode,Engine Status
2047 - 2004 CHEVROLET 2500,PWSTMNTC,,"Nov 02, 2022",12:22:55 AM,02-11-2022 00:22:55,GpsRecord,0,-93.12843,44.96801,ConnectedToServer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,, 
2047 - 2004 CHEVROLET 2500,PWSTMNTC,,"Nov 02, 2022",12:52:55 AM,02-11-2022 00:52:55,GpsRecord,0,-93.12843,44.96801,ConnectedToServer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,, 
2047 - 2004 CHEVROLET 2500,PWSTMNTC,,"Nov 02, 2022",1:22:56 AM,-,GpsRecord,0,-93.12843,44.96801,ConnectedToServer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,, 
2047 - 2004 CHEVROLET 2500,PWSTMNTC,,"Nov 02, 2022",1:52:54 AM,02-11-2022 01:52:54,GpsRecord,0,-93.12843,44.96801,ConnectedToServer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,, 
2047 - 2004 CHEVROLET 2500,PWSTMNTC,,"Nov 02, 2022",2:22:56 AM,02-11-2022 02:22:56,GpsRecord,0,-93.12843,44.96801,ConnectedToServer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,, 
2047 - 2004 CHEVROLET 2500,PWSTMNTC,,"Nov 02, 2022",2:52:55 AM,02-11-2022 02:52:55,GpsRecord,0,-93.12843,44.96801,ConnectedToServer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,, 
2047 - 2004 CHEVROLET 2500,PWSTMNTC,,"Nov 02, 2022",3:22:55 AM,02-11-2022 03:22:55,GpsRecord,0,-93.12843,44.96801,ConnectedToServer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,, 
2047 - 2004 CHEVROLET 2500,PWSTMNTC,,"Nov 02, 2022",3:53:05 AM,02-11-2022 03:53:05,GpsRecord,0,-93.12843,44.96801,ConnectedToServer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,, 
2047 - 2004 CHEVROLET 2500,PWSTMNTC,,"Nov 02, 2022",4:22:56 AM,02-11-2022 04:22:56,GpsRecord,0,-93.12843,44.96801,ConnectedToServer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,, 
2047 - 2004 CHEVROLET 2500,PWSTMNTC,,"Nov 02, 2022",4:52:55 AM,02-11-2022 04:52:55,GpsRecord,0,-93.12843,44.96801,ConnectedToServer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,, 
